,X,Y,Z
468,0.13,-0.53,0.17
469,0.11,-0.53,0.1
470,0.04,-0.53,-0.02
471,-0.01,-0.56,-0.02
472,0.01,-0.64,0.08
473,0.01,-0.64,0.08
474,0.1,-0.53,0.19
475,0.1,-0.53,0.19
476,0.1,-0.53,0.19
477,0.01,-0.64,0.01
478,0.01,-0.64,0.01
479,0.06,-0.59,0.12
480,0.06,-0.59,0.12
481,0.06,-0.59,0.12
482,0.04,-0.56,0.03
483,0.04,-0.56,0.03
484,-0.02,-0.5,0.11
485,-0.02,-0.5,0.11
486,-0.02,-0.5,0.11
487,0.08,-0.59,0.1
488,0.08,-0.59,0.1
489,-0.02,-0.59,0.03
490,-0.02,-0.59,0.03
491,-0.02,-0.59,0.03
492,0.08,-0.5,0.17
493,0.08,-0.5,0.17
494,0.03,-0.47,0.05
495,0.03,-0.47,0.05
496,0.03,-0.47,0.05
497,0.03,-0.47,0.05
498,0.03,-0.47,0.05
499,0.08,-0.42,0.1
500,0.08,-0.42,0.1
501,0.05,-0.47,0.04
502,0.05,-0.47,0.04
503,0.05,-0.47,0.04
504,0.05,-0.42,0.15
505,0.05,-0.42,0.15
506,0.05,-0.42,0.15
507,0.05,-0.42,0.15
508,0.05,-0.42,0.15
509,0.03,-0.42,0.1
510,0.03,-0.42,0.1
511,0.06,-0.47,0.08
512,0.06,-0.47,0.08
513,0.06,-0.47,0.08
514,-0.07,-0.42,0.04
515,-0.07,-0.42,0.04
516,0.05,-0.42,0.13
517,0.05,-0.42,0.13
518,0.05,-0.42,0.13
519,-0.07,-0.47,0.04
520,-0.07,-0.47,0.04
521,0.01,-0.45,0.01
522,0.01,-0.45,0.01
523,0.01,-0.45,0.01
524,0.01,-0.45,0.01
525,0.01,-0.45,0.01
526,-0.14,-0.39,-0.17
527,-0.14,-0.39,-0.17
528,0.01,-0.39,-0.04
529,0.01,-0.39,-0.04
530,0.01,-0.39,-0.04
531,-0.11,-0.39,-0.13
532,-0.11,-0.39,-0.13
533,-0.07,-0.36,-0.06
534,-0.07,-0.36,-0.06
535,-0.07,-0.36,-0.06
536,-0.04,-0.39,-0.08
537,-0.04,-0.39,-0.08
538,-0.14,-0.39,-0.15
539,-0.14,-0.39,-0.15
540,-0.14,-0.39,-0.15
541,0.01,-0.39,-0.02
542,0.01,-0.39,-0.02
543,-0.11,-0.39,-0.18
544,-0.11,-0.39,-0.18
545,-0.11,-0.39,-0.18
546,-0.01,-0.36,-0.04
547,-0.01,-0.36,-0.04
548,-0.01,-0.33,-0.16
549,-0.01,-0.33,-0.16
550,-0.01,-0.33,-0.16
551,-0.01,-0.33,-0.16
552,-0.01,-0.33,-0.16
553,-0.01,-0.36,-0.09
554,-0.01,-0.36,-0.09
555,0.07,-0.39,-0.03
556,0.07,-0.39,-0.03
557,0.07,-0.39,-0.03
558,0.01,-0.36,0.06
559,0.01,-0.36,0.06
560,0.06,-0.33,-0.02
561,0.06,-0.33,-0.02
562,0.06,-0.33,-0.02
563,-0.02,-0.3,0.03
564,-0.02,-0.3,0.03
565,0.06,-0.33,0.1
566,0.06,-0.33,0.1
567,0.06,-0.33,0.1
568,-0.07,-0.33,-0.06
569,-0.07,-0.33,-0.06
570,0.0,-0.36,0.08
571,0.0,-0.36,0.08
572,0.0,-0.36,0.08
573,-0.01,-0.33,-0.06
574,-0.01,-0.33,-0.06
575,-0.02,-0.33,0.01
576,-0.02,-0.33,0.01
577,-0.02,-0.33,0.01
578,-0.02,-0.33,0.01
579,-0.02,-0.33,0.01
580,-0.04,-0.36,-0.06
581,-0.04,-0.36,-0.06
582,-0.09,-0.22,-0.06
583,-0.09,-0.22,-0.06
584,-0.09,-0.22,-0.06
585,-0.09,-0.28,-0.15
586,-0.09,-0.28,-0.15
587,0.14,-0.25,-0.15
588,0.14,-0.25,-0.15
589,0.14,-0.25,-0.15
590,-0.01,-0.3,-0.09
591,-0.01,-0.3,-0.09
592,-0.16,-0.3,-0.17
593,-0.16,-0.3,-0.17
594,-0.16,-0.3,-0.17
595,-0.07,-0.27,-0.01
596,-0.07,-0.27,-0.01
597,-0.06,-0.28,-0.13
598,-0.06,-0.28,-0.13
599,-0.06,-0.28,-0.13
600,-0.07,-0.25,-0.06
601,-0.07,-0.25,-0.06
602,-0.04,-0.3,-0.06
603,-0.04,-0.3,-0.06
604,0.17,-0.36,-0.15
605,-0.12,-0.3,-0.1
606,-0.12,-0.3,-0.1
607,-0.04,-0.3,-0.06
608,-0.04,-0.3,-0.06
609,-0.09,-0.3,-0.1
610,-0.04,-0.27,-0.01
611,-0.04,-0.27,-0.01
612,-0.09,-0.33,-0.15
613,-0.09,-0.33,-0.15
614,-0.14,-0.3,-0.13
615,-0.1,-0.25,0.04
616,0.02,-0.22,0.15
617,0.03,-0.22,0.06
618,0.03,-0.22,0.06
619,-0.04,-0.25,-0.01
620,-0.04,-0.25,-0.01
621,0.0,-0.25,0.08
622,0.03,-0.22,0.08
623,0.03,-0.22,0.08
624,0.03,-0.27,0.06
625,0.03,-0.27,0.06
626,0.03,-0.27,0.06
627,0.03,-0.27,0.06
628,0.03,-0.27,0.06
629,0.08,-0.27,0.1
630,0.08,-0.27,0.1
631,0.02,-0.22,0.01
632,0.02,-0.22,0.01
633,0.02,-0.22,0.01
634,0.02,-0.22,0.15
635,0.02,-0.22,0.15
636,0.03,-0.25,0.06
637,0.03,-0.25,0.06
638,0.03,-0.25,0.06
639,-0.02,-0.27,0.03
640,-0.02,-0.27,0.03
641,0.03,-0.22,0.06
642,0.03,-0.22,0.06
643,-0.04,-0.22,-0.06
644,-0.12,-0.22,-0.03
645,-0.12,-0.22,-0.03
646,-0.05,-0.16,0.01
647,-0.05,-0.16,0.01
648,-0.02,-0.25,-0.01
649,-0.07,-0.22,-0.06
650,-0.1,-0.19,-0.03
651,-0.07,-0.19,-0.06
652,-0.07,-0.19,-0.06
653,0.01,-0.22,0.01
654,0.01,-0.22,0.01
655,0.01,-0.22,0.01
656,-0.09,-0.19,-0.1
657,-0.09,-0.19,-0.1
658,-0.09,-0.19,-0.1
659,-0.09,-0.19,-0.1
660,-0.09,-0.19,-0.1
661,-0.01,-0.19,-0.04
662,-0.01,-0.19,-0.04
663,0.07,-0.19,-0.03
664,0.07,-0.19,-0.03
665,0.07,-0.19,-0.03
666,-0.02,-0.25,-0.01
667,-0.02,-0.25,-0.01
668,0.09,-0.19,-0.08
669,0.09,-0.19,-0.08
670,0.09,-0.19,-0.08
671,-0.02,-0.16,0.04
672,-0.02,-0.16,0.04
673,0.01,-0.22,-0.04
674,0.01,-0.22,-0.04
675,0.01,-0.22,-0.04
676,0.03,-0.16,0.08
677,0.03,-0.16,0.08
678,0.13,-0.22,0.15
679,0.13,-0.22,0.15
680,0.13,-0.22,0.15
681,0.13,-0.22,0.15
682,0.13,-0.22,0.15
683,0.1,-0.19,0.17
684,0.1,-0.19,0.17
685,0.06,-0.16,0.05
686,0.06,-0.16,0.05
687,0.06,-0.16,0.05
688,0.03,-0.19,0.1
689,0.07,-0.16,0.22
690,0.05,-0.13,0.15
691,0.05,-0.13,0.15
692,0.05,-0.13,0.15
693,-0.02,-0.19,0.08
694,-0.02,-0.19,0.08
695,0.08,-0.19,0.15
696,0.08,-0.19,0.15
697,0.08,-0.19,0.15
698,0.0,-0.19,0.08
699,0.0,-0.19,0.08
700,0.06,-0.16,0.08
701,0.06,-0.16,0.08
702,0.06,-0.16,0.08
703,0.13,-0.16,0.15
704,0.13,-0.16,0.15
705,-0.07,-0.19,0.01
706,-0.07,-0.19,0.01
707,0.03,-0.16,0.1
708,0.03,-0.16,0.1
709,0.03,-0.16,0.1
710,-0.02,-0.16,0.01
711,-0.02,-0.16,0.01
712,-0.02,-0.16,0.01
713,-0.02,-0.16,0.01
714,-0.02,-0.16,0.01
715,0.03,-0.08,0.03
716,0.01,-0.16,-0.04
717,-0.07,-0.16,-0.01
718,-0.07,-0.16,-0.01
719,-0.07,-0.16,-0.01
720,0.05,-0.13,0.13
721,0.05,-0.13,0.13
722,0.01,-0.1,0.01
723,0.01,-0.1,0.01
724,-0.05,-0.13,0.04
725,0.0,-0.16,0.06
726,0.0,-0.16,0.06
727,0.08,-0.16,0.05
728,0.08,-0.16,0.05
729,-0.05,-0.13,0.01
730,-0.07,-0.16,0.04
