Bx,By,Bz
1.662426714796223948e+01,-1.008255809571524075e+01,-3.522468799669122319e+01
1.660824257948475591e+01,-1.009716995052329835e+01,-3.526227789601738039e+01
1.659223178896996131e+01,-1.011173330895036138e+01,-3.529988687084647125e+01
1.657623473768120448e+01,-1.012624810766952343e+01,-3.533751486769605776e+01
1.656025138689339116e+01,-1.014071428421141619e+01,-3.537516183089321942e+01
1.654428169855498609e+01,-1.015513177713870618e+01,-3.541282770476004060e+01
1.652832563528446741e+01,-1.016950052604154742e+01,-3.545051243362551219e+01
1.651238316036669573e+01,-1.018382047153276559e+01,-3.548821596183632465e+01
1.649645423774925845e+01,-1.019809155524309396e+01,-3.552593823376813020e+01
1.648053883268331177e+01,-1.021231371996922199e+01,-3.556367919603120242e+01
1.646463690913888911e+01,-1.022648690905423408e+01,-3.560143878870591294e+01
1.644874843367548323e+01,-1.024061106730902893e+01,-3.563921695851418292e+01
1.643287337285299188e+01,-1.025468614038639892e+01,-3.567701365005818559e+01
1.641701169387424386e+01,-1.026871207493195470e+01,-3.571482880802413007e+01
1.640116336458074642e+01,-1.028268881857890626e+01,-3.575266237719315399e+01
1.638532835344843974e+01,-1.029661631994278714e+01,-3.579051430245211662e+01
1.636950663021206509e+01,-1.031049452874845507e+01,-3.582838453101275888e+01
1.635369816334355164e+01,-1.032432339529174037e+01,-3.586627300358902914e+01
1.633790292382684584e+01,-1.033810287123748850e+01,-3.590417966765414093e+01
1.632212088263155891e+01,-1.035183290907522391e+01,-3.594210446862172148e+01
1.630635201133930323e+01,-1.036551346224880454e+01,-3.598004735206250615e+01
1.629059628213892097e+01,-1.037914448515079435e+01,-3.601800826371528785e+01
1.627485366782198639e+01,-1.039272593311623716e+01,-3.605598714949563544e+01
1.625912414239074977e+01,-1.040625776252892187e+01,-3.609398395772853263e+01
1.624340767859893475e+01,-1.041973993036435964e+01,-3.613199863027202241e+01
1.622770425163134078e+01,-1.043317239486483672e+01,-3.617003111585404440e+01
1.621201383664018181e+01,-1.044655511507602341e+01,-3.620808136119886456e+01
1.619633640935526131e+01,-1.045988805095594110e+01,-3.624614931325711353e+01
1.618067194607871073e+01,-1.047317116336842169e+01,-3.628423491921481769e+01
1.616502042367980252e+01,-1.048640441407675006e+01,-3.632233812650278537e+01
1.614938181958969210e+01,-1.049958776573721231e+01,-3.636045888280587235e+01
1.613375611239105112e+01,-1.051272118198144412e+01,-3.639859713830870191e+01
1.611814327942992264e+01,-1.052580462705155462e+01,-3.643675283676010679e+01
1.610254330038792503e+01,-1.053883806633490394e+01,-3.647492592889550167e+01
1.608695615488914044e+01,-1.055182146599370263e+01,-3.651311636350565948e+01
1.607138182309183705e+01,-1.056475479304979892e+01,-3.655132408968000135e+01
1.605582028568292685e+01,-1.057763801537788417e+01,-3.658954905681522973e+01
1.604027152387225641e+01,-1.059047110169837325e+01,-3.662779121462356358e+01
1.602473551996657974e+01,-1.060325402163880959e+01,-3.666605051538856941e+01
1.600921225504233192e+01,-1.061598674545032495e+01,-3.670432690498450512e+01
