,Bx,By,Bz
1298,25.691747945676855,4.636330237392628,25.52245916903541
1299,25.689292490391853,4.639032769043318,25.535912285963818
1300,25.686854905965703,4.641739155599836,25.549356991182798
1301,25.684435135182703,4.644449292183705,25.562793357278263
1302,25.682033120729734,4.647163073808449,25.57622145754415
1303,25.67964880567417,4.649880394419469,25.589641362611896
1304,25.6772821331498,4.6526011475455356,25.603053142688967
1305,25.674933046439524,4.655325226144641,25.616456866993545
1306,25.672601489053903,4.658052522449017,25.62985260318387
1307,25.67028740443186,4.660782928620336,25.643240419619424
1308,25.66799073639826,4.663516335784873,25.65662038196006
1309,25.665711428863386,4.6662526346884645,25.669992555425218
1310,25.66344942597472,4.668991715379102,25.683357003653352
1311,25.66120467182819,4.671733467864595,25.696713790980187
1312,25.658977110909895,4.674477781144351,25.710062979012864
1313,25.656766687805952,4.677224543866864,25.72340462890643
1314,25.65457334727882,4.679973644174492,25.736738800790157
1315,25.65239703433996,4.682724969547577,25.750065553187543
1316,25.6502376939733,4.685478407464498,25.763384945316066
1317,25.648095271558127,4.688233844430305,25.77669703363038
1318,25.64596971259124,4.690991166636571,25.79000187412016
1319,25.64386096282734,4.693750259642259,25.80329952115078
1320,25.641768968012332,4.696511009035244,25.816590029781004
1321,25.639693674291216,4.69927329945889,25.829873452280047
1322,25.637635027940146,4.702037015273477,25.843149840443015
1323,25.63559297543688,4.704802040400324,25.856419245008205
1324,25.633567463527854,4.707568258165596,25.86968171506843
1325,25.631558438973176,4.710335551963163,25.88293730041041
1326,25.629565848936437,4.713103804279405,25.896186047999446
1327,25.62758964072868,4.715872897356139,25.9094280043175
1328,25.625629761875675,4.718642713034481,25.922663214775287
1329,25.623686160181865,4.721413132598646,25.93589172311812
1330,25.621758783487028,4.724184037439575,25.9491135737887
1331,25.619847580038424,4.726955308078833,25.96232880837804
1332,25.617952498246115,4.729726824832269,25.975537467986108
1333,25.616073486806496,4.732498467489925,25.988739592032967
1334,25.61421049446791,4.735270115979793,26.00193522064012
1335,25.612363470388978,4.738041649391657,26.01512439105412
1336,25.610532363902966,4.740812946640988,26.028307140026183
1337,25.60871712457991,4.743583886312823,26.04148350321498
1338,25.60691770228493,4.74635434650581,26.054653514582753
1339,25.60513404695506,4.749124205495642,26.067817208800324
1340,25.60336610894059,4.751893340759613,26.08097461763643
1341,25.601613838780583,4.754661629640175,26.094125772360744
1342,25.599877187316004,4.7574289490253205,26.107270702534294
1343,25.598156105474885,4.760195176011221,26.12040943843413
1344,25.596450544600568,4.762960186928122,26.13354200741439
